"bol","sc","cat"
"བཀའ་འགྱུར་རོ་ཅོག་བཀླགས་པའི་དགེ་བ་བསྔོ་བའི་ཚིག","6","http://purl.bdrc.io/ontology/core/Work"
"རེབ་ཙ་བཀའ་འགྱུར་བ་ངག་དབང་བློ་བཟང་ཉི་མ།","5","http://purl.bdrc.io/ontology/core/Person"
"བཀའ་འགྱུར་རིན་པོ་ཆེ་ཀློང་ཆེན་ཡེ་ཤེས་རྡོ་རྗེ།","17","http://purl.bdrc.io/ontology/core/Person"
"ཞོལ་བཀའ་འགྱུར་པར་ཁང་གངས་ཅན་ཕན་བདེའི་གཏེར་མཛོད་གླིང་།","125","http://purl.bdrc.io/ontology/core/Place"
"བཀའ་འགྱུར་རིན་པོ་ཆེའི་དཀར་ཆག་ལས་རྒྱུད་འབུམ་གྱི་སྐོར།","6","http://purl.bdrc.io/ontology/core/Work"
"རེབ་ཚ་བཀའ་འགྱུར་བ་ངག་དབང་བློ་བཟང་ཉི་མའི་གསུང་འབུམ།","6","http://purl.bdrc.io/ontology/core/Work"
"བཀའ་འགྱུར་ལས་ཁོལ་དུ་ཕྱུང་བའི་ངེས་དོན་དང་སྙིང་པོའི་མདོ།","6","http://purl.bdrc.io/ontology/core/Work"
"དབེན་ས་ཆོས་ཀྱི་ཕོ་བྲང་དུ་བཀའ་འགྱུར་གསར་བཞེངས་ཕུལ་བའི་དགེ་བསྔོ་།","6","http://purl.bdrc.io/ontology/core/Work"
"བཀའ་འགྱུར་བ་བློ་བཟང་ཐུབ་བསྟན་གི་ལོ་རྒྱུས་མ་བཅོས་ལྷུག་པར་བཀོད་པ།","6","http://purl.bdrc.io/ontology/core/Work"
"སྣར་ཐང་དང་ཁུ་རེ་དཔར་མའི་བཀའ་འགྱུར་ཚིག་བརྗོད་ཞིབ་བསྡུས་གསལ་བྱེད།","6","http://purl.bdrc.io/ontology/core/Work"
"བཀའ་འགྱུར་གྱི་ནང་དུ་བཞུགས་པའི་འཕགས་པ་གསལ་ཞིང་ཡངས་པའི་སྣང་བརྒྱད་སོགས།","6","http://purl.bdrc.io/ontology/core/Work"
"ཤེལ་དཀར་བཀའ་འགྱུར་བླ་མ་ངག་དབང་བློ་བཟང་བསྟན་འཛིན་ཚུལ་ཁྲིམས་རྒྱལ་མཚན།","70","http://purl.bdrc.io/ontology/core/Person"
"བཀའ་འགྱུར་ཡོངས་རྫོགས་ཀྱི་ལུང་ལེགས་པར་ཐོབ་པའི་གསན་ཡིག་ཐར་པའི་ཐེམ་སྐས་སོགས།","6","http://purl.bdrc.io/ontology/core/Work"
"རྒྱལ་བའི་བཀའ་འགྱུར་རོ་ཅོག་གི་ཐོབ་ཡིག་པདྨ་དཀར་པོའི་ཕྲེང་བ་མཁས་པའི་མགྲིན་རྒྱན།","6","http://purl.bdrc.io/ontology/core/Work"
"ཐུབ་དབང་གནས་བརྟན་བཅུ་དྲུག་དང་རྒྱལ་བའི་བཀའ་འགྱུར་རིན་པོ་ཆེ་བཞེངས་པའི་དགེ་བསྔོ་།","6","http://purl.bdrc.io/ontology/core/Work"
"སེར་བྱེས་མཁན་ཟུར་བཀའ་འགྱུར་བ་བློ་བཟང་ཐུབ་བསྟན་བདག་གི་ལོ་རྒྱུས་མ་བཅོས་ལྷུགས་པར་བཀོད་པ།","6","http://purl.bdrc.io/ontology/core/Work"
"ཀུན་མཁྱེན་འཇམ་དབྱངས་བཞད་པའི་གསན་ཡིག་ལས་བཀའ་འགྱུར་གྱི་མདོ་ཕྱོགས་སྐོར་གསན་ཚུལ་ཏེ་ཚན་པ་གཉིས་པ།","9","http://purl.bdrc.io/ontology/core/Work"
